id,project_id,event_type,event_date,description,source_id
1,linha-verde-investor-visas,announcement,2023-07-18,Linha Verde for investor visas announced by Secretary of State Ivan dos Santos at VI Encontro Empresarial Portugal/Angola,1
2,investment-portal-georeferenced,announcement,2023-07-18,Investment attraction portal with georeferenced projects announced,1
3,digital-infrastructure-pledge,announcement,2023-07-18,President Lourenco pledged continued investment in digital infrastructure at FILDA opening,14
4,sonangol-sonils-filda2023,announcement,2023-07-18,SONILS first participation in FILDA,4
5,sonangol-sonils-filda2023,expansion,2023-07-22,Sonangol won 2 awards: Best Oil & Gas Participation and Sustainability,4
6,anpg-oil-sector-grand-prize,announcement,2023-07-18,ANPG and partners participated in FILDA 2023 oil sector corridor,5
7,anpg-oil-sector-grand-prize,expansion,2023-07-22,ANPG won Grand Prize Leao de Ouro for second time in four participations,5
8,portuguese-investment-zee-330m,announcement,2023-07-18,Portuguese investment in ZEE reaches USD 330M highlighted at FILDA,6
9,vi-encontro-empresarial-pt-ao,announcement,2023-07-18,VI Encontro Empresarial Portugal/Angola organized by CCIPA,83
10,vi-encontro-empresarial-pt-ao,completion,2023-07-18,Event completed with ~100 Portuguese and Angolan entrepreneurs,83
11,angola-startup-summit-2023,announcement,2023-05-01,Angola Startup Summit II Edition announced under FILDA,7
12,angola-startup-summit-2023,expansion,2023-07-22,SIA from Huila won BCI Challenge with 10M Kwanza prize,7
13,bfa-30th-anniversary-filda,announcement,2023-07-17,BFA announced presence at FILDA celebrating 30th anniversary,8
14,banco-sol-virtual-assistant,announcement,2023-07-18,Banco Sol presented a virtual assistant at FILDA 2023,9
15,filda-2023-2-billion-business,announcement,2023-07-18,FILDA 2023 projected to generate above 2 billion in business (currency unclear),103
16,huatong-angola-industry-awards,expansion,2023-07-22,Huatong Angola Industry won 3 prizes at FILDA 2023,15
17,brazil-returns-to-filda,announcement,2023-07-18,Brazil returned to FILDA after absence,29
18,cip-cooperation-pt-ao,announcement,2023-07-18,CIP reinforced economic cooperation between Portugal and Angola,13
19,digital-infrastructure-pledge,announcement,2023-07-18,Angola to invest in broadband fiber optic Angosat-2 internet expansion,14
